🔜 			 -1
numerus 			 -1
a 			 (7, 0)
| 			 -1
b 			 (8, 0)
| 			 -1
c 			 (9, 0)
✋ 			 -1
📖 			 -1
( 			 -1
a 			 (7, 0)
) 			 -1
✋ 			 -1
📖 			 -1
( 			 -1
b 			 (8, 0)
) 			 -1
✋ 			 -1
📖 			 -1
( 			 -1
c 			 (9, 0)
) 			 -1
✋ 			 -1
❓ 			 -1
( 			 -1
a 			 (7, 0)
↘️ 			 -1
b 			 (8, 0)
et 			 -1
a 			 (7, 0)
↘️ 			 -1
c 			 (9, 0)
) 			 -1
🔜 			 -1
✏️ 			 -1
( 			 -1
a 			 (7, 0)
) 			 -1
✋ 			 -1
🔚 			 -1
❗❓ 			 -1
( 			 -1
b 			 (8, 0)
↘️ 			 -1
a 			 (7, 0)
et 			 -1
b 			 (8, 0)
↘️ 			 -1
c 			 (9, 0)
) 			 -1
🔜 			 -1
✏️ 			 -1
( 			 -1
b 			 (8, 0)
) 			 -1
✋ 			 -1
🔚 			 -1
✏️ 			 -1
( 			 -1
c 			 (9, 0)
) 			 -1
✋ 			 -1
🔚 			 -1
